LAW_ID,ARTICLE_ID
LA001,A0001
LA001,A0002
LA001,A0003
LA001,A0004
LA001,A0005
LA001,A0006
LA001,A0007
LA001,A0008
LA001,A0009
LA001,A0010
LA001,A0011
LA001,A0012
LA001,A0013
LA001,A0014
LA001,A0015
LA001,A0016
LA001,A0017
LA001,A0018
LA001,A0019
LA001,A0020
LA001,A0021
LA001,A0022
LA001,A0023
LA001,A0024
LA001,A0025
LA001,A0026
LA001,A0027
LA001,A0028
LA001,A0029
LA001,A0030
LA001,A0031
LA001,A0032
LA001,A0033
LA001,A0034
LA001,A0035
LA001,A0036
LA001,A0037
LA001,A0038
LA001,A0039
LA001,A0040
LA001,A0041
LA001,A0042
LA001,A0043
LA001,A0044
LA001,A0045
LA001,A0046
LA001,A0047
LA001,A0048
LA001,A0049
LA001,A0050
LA001,A0051
LA001,A0052
LA001,A0053
LA001,A0054
LA001,A0055
LA001,A0056
LA001,A0057
LA001,A0058
LA001,A0059
LA001,A0060
LA001,A0061
LA001,A0062
LA001,A0063
LA001,A0064
LA001,A0065
LA001,A0066
LA001,A0067
LA001,A0068
LA001,A0069
LA001,A0070
LA001,A0071
LA001,A0072
LA001,A0073
LA001,A0074
LA001,A0075
LA001,A0076
LA001,A0077
LA001,A0078
LA001,A0079
LA001,A0080
LA001,A0081
LA001,A0082
LA001,A0083
LA001,A0084
LA001,A0085
LA001,A0086
LA001,A0087
LA001,A0088
LA001,A0089
LA001,A0090
LA001,A0091
LA001,A0092
LA001,A0093
LA001,A0094
LA001,A0095
LA001,A0096
LA001,A0097
LA001,A0098
LA001,A0099
LA001,A0100
LA001,A0101
LA001,A0102
LA001,A0103
LA001,A0104
LA001,A0105
LA001,A0106
LA001,A0107
LA001,A0108
LA001,A0109
LA001,A0110
LA001,A0111
LA001,A0112
LA001,A0113
LA001,A0114
LA001,A0115
LA001,A0116
LA001,A0117
LA001,A0118
LA001,A0119
LA001,A0120
LA001,A0121
LA001,A0122
LA001,A0123
LA001,A0124
LA001,A0125
LA001,A0126
LA001,A0127
LA001,A0128
LA001,A0129
LA001,A0130
LA001,A0131
LA001,A0132
LA001,A0133
LA001,A0134
LA001,A0135
LA001,A0136
LA001,A0137
LA001,A0138
LA001,A0139
LA001,A0140
LA001,A0141
LA001,A0142
LA001,A0143
LA001,A0144
LA001,A0145
LA001,A0146
LA001,A0147
LA001,A0148
LA001,A0149
LA001,A0150
LA001,A0151
LA001,A0152
LA001,A0153
LA001,A0154
LA001,A0155
LA001,A0156
LA001,A0157
LA001,A0158
LA001,A0159
LA001,A0160
LA001,A0161
LA001,A0162
LA001,A0163
LA001,A0164
LA001,A0165
LA001,A0166
LA001,A0167
LA001,A0168
LA001,A0169
LA001,A0170
LA001,A0171
LA001,A0172
LA001,A0173
LA001,A0174
LA001,A0175
LA001,A0176
LA001,A0177
LA001,A0178
LA001,A0179
LA001,A0180
LA001,A0181
LA001,A0182
LA001,A0183
LA001,A0184
LA001,A0185
LA001,A0186
LA001,A0187
LA001,A0188
LA001,A0189
LA001,A0190
LA001,A0191
LA001,A0192
LA001,A0193
LA001,A0194
LA001,A0195
LA001,A0196
LA001,A0197
LA001,A0198
LA001,A0199
LA001,A0200
LA001,A0201
LA001,A0202
LA001,A0203
LA001,A0204
LA001,A0205
LA001,A0206
LA001,A0207
LA001,A0208
LA001,A0209
LA001,A0210
LA001,A0211
LA001,A0212
LA001,A0213
LA001,A0214
LA001,A0215
LA001,A0216
LA001,A0217
LA001,A0218
LA001,A0219
LA001,A0220
LA001,A0221
LA001,A0222