ARTICLE_ID,NUMBER,TITLE_VN,TITLE_EN,TITLE_JP,INTRODUCTORY STATEMENT_VN,INTRODUCTORY STATEMENT_EN,INTRODUCTORY STATEMENT_JP
A0001,1,Phạm vi điều chỉnh,Scope of Regulation,調整範囲,NULL,NULL,NULL
A0002,2,Đối tượng áp dụng,Applicable Entities,適用対象,NULL,NULL,NULL
A0003,3,Đối tượng quyền sở hữu trí tuệ,Objects of Intellectual Property Rights,知的財産権の対象,NULL,NULL,NULL
A0004,4,Giải thích từ ngữ,Interpretation of Terms,用語の解釈,"Trong Luật này, các từ ngữ dưới đây được hiểu như sau:","In this Law, the following terms are construed as follows:",この法律において、次の用語は、それぞれ次のように解釈される。
A0005,5,Áp dụng pháp luật,Application of Law,法の適用,NULL,NULL,NULL
A0006,6,"Căn cứ phát sinh, xác lập quyền sở hữu trí tuệ",Basis for Arising and Establishing Intellectual Property Rights,知的財産権の発生および確立の根拠,NULL,NULL,NULL
A0007,7,Giới hạn quyền sở hữu trí tuệ,Limitations of Intellectual Property Rights,知的財産権の制限,NULL,NULL,NULL
A0008,8,Chính sách của Nhà nước về sở hữu trí tuệ,State Policies on Intellectual Property,知的財産に関する国家の政策,NULL,NULL,NULL
A0009,9,"Quyền và trách nhiệm của tổ chức, cá nhân trong việc bảo vệ quyền sở hữu trí tuệ",Rights and Responsibilities of Organizations and Individuals in Protecting Intellectual Property Rights,知的財産権を保護するための組織・個人の権利と責任,NULL,NULL,NULL
A0010,10,Nội dung quản lý nhà nước về sở hữu trí tuệ,Content of State Management on Intellectual Property,知的財産に関する国家管理の内容,NULL,NULL,NULL
A0011,11,Trách nhiệm quản lý nhà nước về sở hữu trí tuệ,Responsibilities for State Management on Intellectual Property,知的財産に関する国家管理の責任,NULL,NULL,NULL
A0012,12,"Phí, lệ phí về sở hữu trí tuệ",Fees and Charges Related to Intellectual Property,知的財産に関する手数料・料金,NULL,NULL,NULL
A0013,13,"Tác giả, chủ sở hữu quyền tác giả có tác phẩm được bảo hộ quyền tác giả",Authors and Owners of Copyrighted Works Protected by Copyright Law,著作権で保護される著作者および著作権者,NULL,NULL,NULL
A0014,14,Các loại hình tác phẩm được bảo hộ quyền tác giả,Types of Works Protected by Copyright Law,著作権で保護される作品の種類,NULL,NULL,NULL
A0015,15,Các đối tượng không thuộc phạm vi bảo hộ quyền tác giả,Objects Not Protected by Copyright Law,著作権の保護対象外の対象物,NULL,NULL,NULL
A0016,16,"Tổ chức, cá nhân được bảo hộ quyền liên quan",Organizations and Individuals Protected by Related Rights,関連権で保護される組織・個人,NULL,NULL,NULL
A0017,17,Các đối tượng quyền liên quan được bảo hộ,Objects of Related Rights Protected,関連権の保護対象,NULL,NULL,NULL
A0018,18,Quyền tác giả,Copyright,著作権,NULL,NULL,NULL
A0019,19,Quyền nhân thân,Moral Rights,人格権,Quyền nhân thân bao gồm các quyền sau đây:,Personal rights include the following rights:,個人の権利には以下の権利が含まれます。
A0020,20,Quyền tài sản,Economic Rights,財産権,NULL,NULL,NULL
A0021,21,"Quyền tác giả đối với tác phẩm điện ảnh, tác phẩm sân khấu",Copyright on Cinematographic and Theatrical Works,映画作品、舞台作品に対する著作権,NULL,NULL,NULL
A0022,22,"Quyền tác giả đối với chương trình máy tính, sưu tập dữ liệu",Copyright on Computer Programs and Data Collections,コンピュータープログラム、データコレクションに対する著作権,NULL,NULL,NULL
A0023,23,"Quyền tác giả đối với tác phẩm văn học, nghệ thuật dân gian",Copyright on Folklore Literary and Artistic Works,民間伝承の文学・芸術作品に対する著作権,NULL,NULL,NULL
A0024,24,"Quyền tác giả đối với tác phẩm văn học, nghệ thuật và khoa học","Copyright on Literary, Artistic, and Scientific Works",文学、芸術、科学作品に対する著作権,NULL,NULL,NULL
A0025,25,"Các trường hợp sử dụng tác phẩm đã công bố không phải xin phép, không phải trả tiền nhuận bút, thù lao",Cases of Use of Published Works Without Permission and Without Paying Royalties or Remuneration,公表済み作品の無断使用（許諾・報酬不要）,NULL,NULL,NULL
A0026,26,"Các trường hợp sử dụng tác phẩm đã công bố không phải xin phép nhưng phải trả tiền nhuận bút, thù lao",Cases of Use of Published Works Without Permission but With Royalties or Remuneration,公表済み作品の無断使用（許諾不要・報酬必要）,NULL,NULL,NULL
A0027,27,Thời hạn bảo hộ quyền tác giả,Term of Copyright Protection,著作権の保護期間,NULL,NULL,NULL
A0028,28,Hành vi xâm phạm quyền tác giả,Acts Infringing Copyright,著作権侵害行為,NULL,NULL,NULL
A0029,29,Quyền của người biểu diễn,Rights of Performers,実演者の権利,NULL,NULL,NULL
A0030,30,"Quyền của nhà sản xuất bản ghi âm, ghi hình",Rights of Producers of Sound and Video Recordings,録音・録画の製作者の権利,NULL,NULL,NULL
A0031,31,Quyền của tổ chức phát sóng,Rights of Broadcasting Organizations,放送機関の権利,NULL,NULL,NULL
A0032,32,"Các trường hợp sử dụng quyền liên quan không phải xin phép, không phải trả tiền nhuận bút, thù lao",Cases of Use of Related Rights Without Permission and Without Paying Royalties or Remuneration,関連権の無断使用（許諾・報酬不要）,NULL,NULL,NULL
A0033,33,"Các trường hợp sử dụng quyền liên quan không phải xin phép nhưng phải trả tiền nhuận bút, thù lao",Cases of Use of Related Rights Without Permission but With Royalties or Remuneration,関連権の無断使用（許諾不要・報酬必要）,NULL,NULL,NULL
A0034,34,Thời hạn bảo hộ quyền liên quan,Term of Protection of Related Rights,関連権の保護期間,NULL,NULL,NULL
A0035,35,Hành vi xâm phạm các quyền liên quan,Acts Infringing Related Rights,関連権の侵害行為,NULL,NULL,NULL
A0036,36,Chủ sở hữu quyền tác giả,Copyright Holders,著作権者,NULL,NULL,NULL
A0037,37,Chủ sở hữu quyền tác giả là tác giả,Copyright Holder is the Author,著作権者が著作者である場合,NULL,NULL,NULL
A0038,38,Chủ sở hữu quyền tác giả là các đồng tác giả,Copyright Holder is Co-authors,著作権者が共同著作者である場合,NULL,NULL,NULL
A0039,39,"Chủ sở hữu quyền tác giả là tổ chức, cá nhân giao nhiệm vụ cho tác giả hoặc giao kết hợp đồng với tác giả",Copyright Holder is the Organization or Individual Assigning or Contracting the Work,著作権者が任務・契約により作品を作成した組織・個人である場合,NULL,NULL,NULL
A0040,40,Chủ sở hữu quyền tác giả là người thừa kế,Copyright Holder is the Heir,著作権者が相続人である場合,NULL,NULL,NULL
A0041,41,Chủ sở hữu quyền tác giả là người được chuyển giao quyền,Copyright Holder is the Transferee,著作権者が権利を譲り受けた者である場合,NULL,NULL,NULL
A0042,42,Chủ sở hữu quyền tác giả là Nhà nước,Copyright Holder is the State,著作権者が国家である場合,NULL,NULL,NULL
A0043,43,Tác phẩm thuộc về công chúng,Works in the Public Domain,公衆の所有とされた作品,NULL,NULL,NULL
A0044,44,Chủ sở hữu quyền liên quan,Holders of Related Rights,関連権の所有者,NULL,NULL,NULL
A0045,45,"Quy định chung về chuyển nhượng quyền tác giả, quyền liên quan",General Provisions on Assignment of Copyright and Related Rights,著作権・関連権の譲渡に関する一般規定,NULL,NULL,NULL
A0046,46,"Hợp đồng chuyển nhượng quyền tác giả, quyền liên quan",Contract for Transfer of Copyright and Related Rights,著作権・関連権譲渡契約,NULL,NULL,NULL
A0047,47,"Quy định chung về chuyển quyền sử dụng quyền tác giả, quyền liên quan",General Provisions on Licensing of Copyright and Related Rights,著作権・関連権の利用許諾に関する一般規定,NULL,NULL,NULL
A0048,48,"Hợp đồng sử dụng quyền tác giả, quyền liên quan",Contract for Use of Copyright and Related Rights,著作権・関連権使用契約,NULL,NULL,NULL
A0049,49,"Đăng ký quyền tác giả, quyền liên quan",Registration of Copyright and Related Rights,著作権・関連権の登録,NULL,NULL,NULL
A0050,50,"Đơn đăng ký quyền tác giả, quyền liên quan",Application for Registration of Copyright and Related Rights,著作権・関連権登録申請書,NULL,NULL,NULL
A0051,51,"Thẩm quyền cấp Giấy chứng nhận đăng ký quyền tác giả, Giấy chứng nhận đăng ký quyền liên quan",Authority to Issue Copyright and Related Rights Registration Certificates,著作権登録証明書・関連権登録証明書の発行権限,NULL,NULL,NULL
A0052,52,"Thời hạn cấp Giấy chứng nhận đăng ký quyền tác giả, Giấy chứng nhận đăng ký quyền liên quan",Time Limit for Issuance of Copyright and Related Rights Registration Certificates,著作権登録証明書・関連権登録証明書の発行期間,NULL,NULL,NULL
A0053,53,"Hiệu lực Giấy chứng nhận đăng ký quyền tác giả, Giấy chứng nhận đăng ký quyền liên quan",Validity of Copyright and Related Rights Registration Certificates,著作権登録証明書・関連権登録証明書の有効性,NULL,NULL,NULL
A0054,54,"Đăng bạ và công bố đăng ký quyền tác giả, quyền liên quan",Recordation and Publication of Copyright and Related Rights Registration,著作権・関連権登録の記載・公表,NULL,NULL,NULL
A0055,55,"Cấp lại, đổi, huỷ bỏ hiệu lực Giấy chứng nhận đăng ký quyền tác giả, Giấy chứng nhận đăng ký quyền liên quan","Reissuance, Modification, or Revocation of Copyright and Related Rights Certificates",著作権登録証明書・関連権登録証明書の再発行・変更・効力の取消し,NULL,NULL,NULL
A0056,56,"Tổ chức đại diện tập thể quyền tác giả, quyền liên quan",Collective Management Organizations of Copyright and Related Rights,著作権・関連権の団体管理機関,NULL,NULL,NULL
A0057,57,"Tổ chức tư vấn, dịch vụ quyền tác giả, quyền liên quan",Advisory and Service Organizations on Copyright and Related Rights,著作権・関連権に関するコンサル・サービス機関,NULL,NULL,NULL
A0058,58,Điều kiện chung đối với sáng chế được bảo hộ,General Conditions for Patent Protection,特許保護の一般条件,NULL,NULL,NULL
A0059,59,Đối tượng không được bảo hộ với danh nghĩa sáng chế,Objects Not Protected as Patents,特許として保護されない対象,Các đối tượng sau đây không được bảo hộ với danh nghĩa sáng chế:,The following subjects are not protected as inventions:,以下の主題は発明として保護されません。
A0060,60,Tính mới của sáng chế,Novelty of Patent,特許の新規性,NULL,NULL,NULL
A0061,61,Trình độ sáng tạo của sáng chế,Inventive Step of Patent,特許の進歩性,NULL,NULL,NULL
A0062,62,Khả năng áp dụng công nghiệp của sáng chế,Industrial Applicability of Patent,特許の産業上の利用可能性,NULL,NULL,NULL
A0063,63,Điều kiện chung đối với kiểu dáng công nghiệp được bảo hộ,General Conditions for Protection of Industrial Designs,意匠保護の一般条件,Kiểu dáng công nghiệp được bảo hộ nếu đáp ứng các điều kiện sau đây:,Industrial designs are protected if they meet the following conditions:,工業デザインは、以下の条件を満たす場合に保護されます。
A0064,64,Đối tượng không được bảo hộ với danh nghĩa kiểu dáng công nghiệp,Objects Not Protected as Industrial Designs,意匠として保護されない対象,Các đối tượng sau đây không được bảo hộ với danh nghĩa kiểu dáng công nghiệp:,The following subjects are not protected as industrial designs:,以下の主題は工業デザインとして保護されません。
A0065,65,Tính mới của kiểu dáng công nghiệp,Novelty of Industrial Design,意匠の新規性,NULL,NULL,NULL
A0066,66,Tính sáng tạo của kiểu dáng công nghiệp,Creative Nature of Industrial Design,意匠の創作性,NULL,NULL,NULL
A0067,67,Khả năng áp dụng công nghiệp của kiểu dáng công nghiệp,Industrial Applicability of Industrial Design,意匠の産業上の利用可能性,NULL,NULL,NULL
A0068,68,Điều kiện chung đối với thiết kế bố trí được bảo hộ,General Conditions for Protection of Layout Designs,レイアウト設計の保護に関する一般条件,Thiết kế bố trí được bảo hộ nếu đáp ứng các điều kiện sau đây:,A layout design is protected if it meets the following conditions:,レイアウト設計は、次の条件を満たす場合に保護されます。
A0069,69,Đối tượng không được bảo hộ với danh nghĩa thiết kế bố trí,Objects Not Protected as Layout Designs,レイアウト設計として保護されない対象,Các đối tượng sau đây không được bảo hộ với danh nghĩa thiết kế bố trí:,The following subjects are not protected as layout designs:,以下の主題はレイアウトデザインとして保護されません。
A0070,70,Tính nguyên gốc của thiết kế bố trí,Originality of Layout Design,レイアウト設計の独創性,NULL,NULL,NULL
A0071,71,Tính mới thương mại của thiết kế bố trí,Commercial Novelty of Layout Design,レイアウト設計の商業的新規性,NULL,NULL,NULL
A0072,72,Điều kiện chung đối với nhãn hiệu được bảo hộ,General Conditions for Protection of Trademarks,商標保護の一般条件,Nhãn hiệu được bảo hộ nếu đáp ứng các điều kiện sau đây:,A trademark is protected if it meets the following conditions:,商標は、以下の条件を満たす場合に保護されます。
A0073,73,Dấu hiệu không được bảo hộ với danh nghĩa nhãn hiệu,Signs Not Protected as Trademarks,商標として保護されない標章,Các dấu hiệu sau đây không được bảo hộ với danh nghĩa nhãn hiệu:,The following signs are not protected as trademarks:,以下の標識は商標として保護されません。
A0074,74,Khả năng phân biệt của nhãn hiệu,Distinctiveness of Trademarks,商標の識別性,NULL,NULL,NULL
A0075,75,Tiêu chí đánh giá nhãn hiệu nổi tiếng,Criteria for Evaluating Well-Known Trademarks,周知商標の評価基準,Các tiêu chí sau đây được xem xét khi đánh giá một nhãn hiệu là nổi tiếng:,The following criteria are considered when determining whether a trademark is famous:,商標が著名かどうかを判断する際には、次の基準が考慮されます。
A0076,76,Điều kiện chung đối với tên thương mại được bảo hộ,General Conditions for Protection of Trade Names,商号保護の一般条件,NULL,NULL,NULL
A0077,77,Đối tượng không được bảo hộ với danh nghĩa tên thương mại,Objects Not Protected as Trade Names,商号として保護されない対象,NULL,NULL,NULL
A0078,78,Khả năng phân biệt của tên thương mại,Distinctiveness of Trade Names,商号の識別性,Tên thương mại được coi là có khả năng phân biệt nếu đáp ứng các điều kiện sau đây:,A trade name is considered distinctive if it meets the following conditions:,商号は、以下の条件を満たす場合に特徴的であるとみなされます。
A0079,79,Điều kiện chung đối với chỉ dẫn địa lý được bảo hộ,General Conditions for Protection of Geographical Indications,地理的表示保護の一般条件,Chỉ dẫn địa lý được bảo hộ nếu đáp ứng các điều kiện sau đây:,Geographical indications are protected if they meet the following conditions:,地理的表示は、以下の条件を満たす場合に保護されます。
A0080,80,Đối tượng không được bảo hộ với danh nghĩa chỉ dẫn địa lý,Objects Not Protected as Geographical Indications,地理的表示として保護されない対象,Các đối tượng sau đây không được bảo hộ với danh nghĩa chỉ dẫn địa lý:,The following subjects are not protected as geographical indications:,以下の対象は地理的表示として保護されません。
A0081,81,"Danh tiếng, chất lượng, đặc tính của sản phẩm mang chỉ dẫn địa lý","Reputation, Quality, Characteristics of Products Bearing Geographical Indications",地理的表示を有する商品の名声・品質・特性,NULL,NULL,NULL
A0082,82,Điều kiện địa lý liên quan đến chỉ dẫn địa lý,Geographical Conditions Related to Geographical Indications,地理的表示に関連する地理的条件,NULL,NULL,NULL
A0083,83,Khu vực địa lý mang chỉ dẫn địa lý,Geographical Area Bearing the Geographical Indication,地理的表示を有する地域,NULL,NULL,NULL
A0084,84,Điều kiện chung đối với bí mật kinh doanh được bảo hộ,General Conditions for Protection of Trade Secrets,営業秘密保護の一般条件,Bí mật kinh doanh được bảo hộ nếu đáp ứng các điều kiện sau đây:,A trade secret is protected if it meets the following conditions:,企業秘密は、以下の条件を満たす場合に保護されます。
A0085,85,Đối tượng không được bảo hộ với danh nghĩa bí mật kinh doanh,Objects Not Protected as Trade Secrets,営業秘密として保護されない対象,Các thông tin bí mật sau đây không được bảo hộ với danh nghĩa bí mật kinh doanh:,The following confidential information is not protected as a trade secret:,以下の機密情報は企業秘密として保護されません。
A0086,86,"Quyền đăng ký sáng chế, kiểu dáng công nghiệp, thiết kế bố trí","Right to Register Patents, Industrial Designs, Layout Designs",特許、意匠、レイアウト設計の登録権,NULL,NULL,NULL
A0087,87,Quyền đăng ký nhãn hiệu,Right to Register Trademarks,商標登録の権利,NULL,NULL,NULL
A0088,88,Quyền đăng ký chỉ dẫn địa lý,Right to Register Geographical Indications,地理的表示登録の権利,NULL,NULL,NULL
A0089,89,Cách thức nộp đơn đăng ký xác lập quyền sở hữu công nghiệp,Methods of Filing Applications for Establishing Industrial Property Rights,工業所有権確立のための出願方法,NULL,NULL,NULL
A0090,90,Nguyên tắc nộp đơn đầu tiên,First-to-File Principle,先願主義,NULL,NULL,NULL
A0091,91,Nguyên tắc ưu tiên,Priority Principle,優先権の原則,NULL,NULL,NULL
A0092,92,Văn bằng bảo hộ,Protection Titles,保護証書,NULL,NULL,NULL
A0093,93,Hiệu lực của văn bằng bảo hộ,Validity of Protection Titles,保護証書の有効性,NULL,NULL,NULL
A0094,94,"Duy trì, gia hạn hiệu lực văn bằng bảo hộ",Maintenance and Renewal of Protection Titles,保護証書の維持・更新,NULL,NULL,NULL
A0095,95,Chấm dứt hiệu lực văn bằng bảo hộ,Termination of Protection Titles,保護証書の効力の終了,NULL,NULL,NULL
A0096,96,Huỷ bỏ hiệu lực văn bằng bảo hộ,Invalidation of Protection Titles,保護証書の効力の取消し,NULL,NULL,NULL
A0097,97,Sửa đổi văn bằng bảo hộ,Amendment of Protection Titles,保護証書の修正,NULL,NULL,NULL
A0098,98,Sổ đăng ký quốc gia về sở hữu công nghiệp,National Register of Industrial Property,国家工業所有権登録簿,NULL,NULL,NULL
A0099,99,Công bố các quyết định liên quan đến văn bằng bảo hộ,Publication of Decisions Related to Protection Titles,保護証書に関する決定の公表,NULL,NULL,NULL
A0100,100,Yêu cầu chung đối với đơn đăng ký sở hữu công nghiệp,General Requirements for Industrial Property Applications,工業所有権出願に関する一般要件,NULL,NULL,NULL
A0101,101,Yêu cầu về tính thống nhất của đơn đăng ký sở hữu công nghiệp,Requirement of Unity in Industrial Property Applications,工業所有権出願の一体性要件,NULL,NULL,NULL
A0102,102,Yêu cầu đối với đơn đăng ký sáng chế,Requirements for Patent Applications,特許出願の要件,NULL,NULL,NULL
A0103,103,Yêu cầu đối với đơn đăng ký kiểu dáng công nghiệp,Requirements for Industrial Design Applications,意匠出願の要件,NULL,NULL,NULL
A0104,104,Yêu cầu đối với đơn đăng ký thiết kế bố trí,Requirements for Layout Design Applications,レイアウト設計出願の要件,"Tài liệu, mẫu vật, thông tin xác định thiết kế bố trí cần bảo hộ trong đơn đăng ký thiết kế bố trí bao gồm:","Documents, samples, and information identifying the layout design requiring protection in the layout design registration application include:",レイアウト設計登録出願において保護を必要とするレイアウト設計を特定する文書、サンプルおよび情報には、次のものが含まれます。
A0105,105,Yêu cầu đối với đơn đăng ký nhãn hiệu,Requirements for Trademark Applications,商標出願の要件,NULL,NULL,NULL
A0106,106,Yêu cầu đối với đơn đăng ký chỉ dẫn địa lý,Requirements for Geographical Indication Applications,地理的表示出願の要件,NULL,NULL,NULL
A0107,107,Uỷ quyền đại diện trong các thủ tục liên quan đến quyền sở hữu công nghiệp,Authorization of Representatives in Industrial Property Procedures,工業所有権手続における代理権の委任,NULL,NULL,NULL
A0108,108,"Tiếp nhận đơn đăng ký sở hữu công nghiệp, ngày nộp đơn",Receipt of Industrial Property Applications and Date of Filing,工業所有権出願の受付と出願日,NULL,NULL,NULL
A0109,109,Thẩm định hình thức đơn đăng ký sở hữu công nghiệp,Formality Examination of Industrial Property Applications,工業所有権出願の方式審査,NULL,NULL,NULL
A0110,110,Công bố đơn đăng ký sở hữu công nghiệp,Publication of Industrial Property Applications,工業所有権出願の公表,NULL,NULL,NULL
A0111,111,"Bảo mật đơn đăng ký sáng chế, đơn đăng ký kiểu dáng công nghiệp trước khi công bố",Confidentiality of Patent and Industrial Design Applications Before Publication,公開前の特許・意匠出願の機密保持,NULL,NULL,NULL
A0112,112,Ý kiến của người thứ ba về việc cấp văn bằng bảo hộ,Third Party Opinions on Grant of Protection Titles,保護証書発行に関する第三者の意見,NULL,NULL,NULL
A0113,113,Yêu cầu thẩm định nội dung đơn đăng ký sáng chế,Request for Substantive Examination of Patent Applications,特許出願の実体審査請求,NULL,NULL,NULL
A0114,114,Thẩm định nội dung đơn đăng ký sở hữu công nghiệp,Substantive Examination of Industrial Property Applications,工業所有権出願の実体審査,NULL,NULL,NULL
A0115,115,"Sửa đổi, bổ sung, tách, chuyển đổi đơn đăng ký sở hữu công nghiệp","Amendment, Supplementation, Division, and Conversion of Industrial Property Applications",工業所有権出願の修正・補足・分割・変換,NULL,NULL,NULL
A0116,116,Rút đơn đăng ký sở hữu công nghiệp,Withdrawal of Industrial Property Applications,工業所有権出願の取り下げ,NULL,NULL,NULL
A0117,117,Từ chối cấp văn bằng bảo hộ,Refusal to Grant Protection Titles,保護証書の発行拒否,NULL,NULL,NULL
A0118,118,"Cấp văn bằng bảo hộ, đăng bạ",Grant and Recordation of Protection Titles,保護証書の発行・登録,NULL,NULL,NULL
A0119,119,Thời hạn xử lý đơn đăng ký sở hữu công nghiệp,Time Limit for Processing Industrial Property Applications,工業所有権出願の処理期間,NULL,NULL,NULL
A0120,120,Đơn quốc tế và xử lý đơn quốc tế,International Applications and Processing of International Applications,国際出願およびその処理,NULL,NULL,NULL
A0121,121,Chủ sở hữu đối tượng sở hữu công nghiệp,Owners of Industrial Property Objects,工業所有権対象の所有者,NULL,NULL,NULL
A0122,122,"Tác giả và quyền của tác giả sáng chế, kiểu dáng công nghiệp, thiết kế bố trí","Inventors and Rights of Inventors of Patents, Industrial Designs, and Layout Designs",特許、意匠、レイアウト設計の発明者およびその権利,NULL,NULL,NULL
A0123,123,Quyền của chủ sở hữu đối tượng sở hữu công nghiệp,Rights of Owners of Industrial Property Objects,工業所有権対象の所有者の権利,NULL,NULL,NULL
A0124,124,Sử dụng đối tượng sở hữu công nghiệp,Use of Industrial Property Objects,工業所有権対象の利用,NULL,NULL,NULL
A0125,125,Quyền ngăn cấm người khác sử dụng đối tượng sở hữu công nghiệp,Right to Prevent Others from Using Industrial Property Objects,他者による工業所有権対象の使用禁止権,NULL,NULL,NULL
A0126,126,"Hành vi xâm phạm quyền đối với sáng chế, kiểu dáng công nghiệp, thiết kế bố trí","Acts Infringing Patents, Industrial Designs, Layout Designs",特許、意匠、レイアウト設計に対する権利侵害行為,"Các hành vi sau đây bị coi là xâm phạm quyền của chủ sở hữu sáng chế, kiểu dáng công nghiệp, thiết kế bố trí:","The following acts are considered to infringe upon the rights of the owner of a patent, industrial design or layout design:",以下の行為は、特許、意匠または回路配置の所有者の権利を侵害するものとみなされます。
A0127,127,Hành vi xâm phạm quyền đối với bí mật kinh doanh,Acts Infringing Trade Secrets,営業秘密に対する権利侵害行為,NULL,NULL,NULL
A0128,128,Nghĩa vụ bảo mật dữ liệu thử nghiệm,Obligation to Keep Confidential Experimental Data,試験データの機密保持義務,NULL,NULL,NULL
A0129,129,"Hành vi xâm phạm quyền đối với nhãn hiệu, tên thương mại và chỉ dẫn địa lý","Acts Infringing Trademarks, Trade Names, and Geographical Indications",商標、商号、地理的表示に対する権利侵害行為,NULL,NULL,NULL
A0130,130,Hành vi cạnh tranh không lành mạnh,Acts of Unfair Competition,不正競争行為,NULL,NULL,NULL
