ARTICLE_ID,NUMBER,TITLE_VN,TITLE_EN,TITLE_JP,INTRODUCTORY STATEMENT_VN,INTRODUCTORY STATEMENT_EN,INTRODUCTORY STATEMENT_JP
A0131,131,"Quyền tạm thời đối với sáng chế, kiểu dáng công nghiệp, thiết kế bố trí","Provisional Rights for Patents, Industrial Designs, Layout Designs",特許、意匠、レイアウト設計に対する暫定的権利,NULL,NULL,NULL
A0132,132,Các yếu tố hạn chế quyền sở hữu công nghiệp,Restrictions on Industrial Property Rights,工業所有権の制限要因,"Theo quy định của Luật này, quyền sở hữu công nghiệp có thể bị hạn chế bởi các yếu tố sau đây:","According to the provisions of this Law, industrial property rights may be limited by the following factors:",この法律の規定によれば、工業所有権は以下の要因によって制限される可能性がある。
A0133,133,Quyền sử dụng sáng chế nhân danh Nhà nước,Right to Use Patents in the Name of the State,国家名義による特許の使用権,NULL,NULL,NULL
A0134,134,"Quyền sử dụng trước đối với sáng chế, kiểu dáng công nghiệp",Prior Use Rights of Patents and Industrial Designs,特許・意匠の先使用権,NULL,NULL,NULL
A0135,135,"Nghĩa vụ trả thù lao cho tác giả sáng chế, kiểu dáng công nghiệp, thiết kế bố trí","Obligation to Pay Remuneration to Inventors of Patents, Industrial Designs, Layout Designs",特許、意匠、レイアウト設計の発明者に対する報酬義務,NULL,NULL,NULL
A0136,136,"Nghĩa vụ sử dụng sáng chế, nhãn hiệu",Obligation to Use Patents and Trademarks,特許、商標の使用義務,NULL,NULL,NULL
A0137,137,Nghĩa vụ cho phép sử dụng sáng chế cơ bản nhằm sử dụng sáng chế phụ thuộc,Obligation to License a Basic Patent for Use of a Dependent Patent,従属特許使用のための基本特許使用許可義務,NULL,NULL,NULL
A0138,138,Quy định chung về chuyển nhượng quyền sở hữu công nghiệp,General Provisions on Assignment of Industrial Property Rights,工業所有権譲渡に関する一般規定,NULL,NULL,NULL
A0139,139,Các điều kiện hạn chế việc chuyển nhượng quyền sở hữu công nghiệp,Conditions Restricting Assignment of Industrial Property Rights,工業所有権譲渡の制限条件,NULL,NULL,NULL
A0140,140,Nội dung của hợp đồng chuyển nhượng quyền sở hữu công nghiệp,Contents of Contract for Assignment of Industrial Property Rights,工業所有権譲渡契約の内容,Hợp đồng chuyển nhượng quyền sở hữu công nghiệp phải có các nội dung chủ yếu sau đây:,An industrial property rights transfer contract must have the following main contents:,工業所有権譲渡契約には、主に以下のような内容が含まれます。
A0141,141,Quy định chung về chuyển quyền sử dụng đối tượng sở hữu công nghiệp,General Provisions on Licensing of Industrial Property Objects,工業所有権対象の使用許諾に関する一般規定,NULL,NULL,NULL
A0142,142,Hạn chế việc chuyển quyền sử dụng đối tượng sở hữu công nghiệp,Restrictions on Licensing of Industrial Property Objects,工業所有権対象の使用許諾の制限,NULL,NULL,NULL
A0143,143,Các dạng hợp đồng sử dụng đối tượng sở hữu công nghiệp,Types of Contracts for Use of Industrial Property Objects,工業所有権対象の使用契約の種類,Hợp đồng sử dụng đối tượng sở hữu công nghiệp gồm các dạng sau đây:,Contracts for the use of industrial property objects include the following forms:,工業所有権物件の使用に関する契約には、以下の形式があります。
A0144,144,Nội dung hợp đồng sử dụng đối tượng sở hữu công nghiệp,Contents of Contracts for Use of Industrial Property Objects,工業所有権対象の使用契約の内容,NULL,NULL,NULL
A0145,145,Căn cứ bắt buộc chuyển giao quyền sử dụng đối với sáng chế,Grounds for Compulsory Licensing of Patents,特許使用権の強制移転の根拠,NULL,NULL,NULL
A0146,146,Điều kiện hạn chế quyền sử dụng sáng chế được chuyển giao theo quyết định bắt buộc,Conditions Limiting Rights of Patents Subject to Compulsory Licensing,強制移転された特許使用権に関する制限条件,NULL,NULL,NULL
A0147,147,Thẩm quyền và thủ tục chuyển giao quyền sử dụng sáng chế theo quyết định bắt buộc,Authority and Procedures for Compulsory Licensing of Patents,特許使用権強制移転の権限および手続き,NULL,NULL,NULL
A0148,148,Hiệu lực của hợp đồng chuyển giao quyền sở hữu công nghiệp,Validity of Contracts for Transfer of Industrial Property Rights,工業所有権譲渡契約の有効性,NULL,NULL,NULL
A0149,149,Hồ sơ đăng ký hợp đồng chuyển giao quyền sở hữu công nghiệp,Registration Dossiers for Contracts on Transfer of Industrial Property Rights,工業所有権譲渡契約登録申請書類,"Hồ sơ đăng ký hợp đồng sử dụng đối tượng sở hữu công nghiệp, hợp đồng chuyển nhượng quyền sở hữu công nghiệp bao gồm:",The application file for registration of industrial property use contract and industrial property transfer contract includes:,工業所有権使用契約及び工業所有権譲渡契約の登録申請書類には、以下のものが含まれます。
A0150,150,Xử lý hồ sơ đăng ký hợp đồng chuyển giao quyền sở hữu công nghiệp,Processing of Registration Dossiers for Contracts on Transfer of Industrial Property Rights,工業所有権譲渡契約登録の処理,NULL,NULL,NULL
A0151,151,Dịch vụ đại diện sở hữu công nghiệp,Industrial Property Representation Services,工業所有権代理サービス,NULL,NULL,NULL
A0152,152,Phạm vi quyền của đại diện sở hữu công nghiệp,Scope of Rights of Industrial Property Representatives,工業所有権代理人の権限の範囲,NULL,NULL,NULL
A0153,153,Trách nhiệm của đại diện sở hữu công nghiệp,Responsibilities of Industrial Property Representatives,工業所有権代理人の責任,NULL,NULL,NULL
A0154,154,Điều kiện kinh doanh dịch vụ đại diện sở hữu công nghiệp,Conditions for Provision of Industrial Property Representation Services,工業所有権代理サービスの営業条件,Tổ chức đáp ứng các điều kiện sau đây được kinh doanh dịch vụ đại diện sở hữu công nghiệp với danh nghĩa tổ chức dịch vụ đại diện sở hữu công nghiệp:,Organizations that meet the following conditions are allowed to conduct industrial property representation services as industrial property representation service organizations:,以下の条件を満たす団体は、産業財産権代理サービス機関として産業財産権代理サービスを行うことができます。
A0155,155,Điều kiện hành nghề dịch vụ đại diện sở hữu công nghiệp,Conditions for Practicing Industrial Property Representation Services,工業所有権代理業務の実施条件,NULL,NULL,NULL
A0156,156,"Ghi nhận, xoá tên tổ chức dịch vụ đại diện sở hữu công nghiệp, thu hồi chứng chỉ hành nghề dịch vụ đại diện sở hữu công nghiệp",Registration and Revocation of Industrial Property Representative Organizations and Certificates,代理サービス組織の記載・抹消、資格証の取り消し,NULL,NULL,NULL
A0157,157,"Tổ chức, cá nhân được bảo hộ quyền đối với giống cây trồng",Organizations and Individuals Protected in Terms of Plant Variety Rights,植物品種に対する保護を受ける組織・個人,NULL,NULL,NULL
A0158,158,Điều kiện chung đối với giống cây trồng được bảo hộ,General Conditions for Protection of Plant Varieties,植物品種保護の一般条件,NULL,NULL,NULL
A0159,159,Tính mới của giống cây trồng,Novelty of Plant Variety,植物品種の新規性,NULL,NULL,NULL
A0160,160,Tính khác biệt của giống cây trồng,Distinctness of Plant Variety,植物品種の識別性,NULL,NULL,NULL
A0161,161,Tính đồng nhất của giống cây trồng,Uniformity of Plant Variety,植物品種の均一性,NULL,NULL,NULL
A0162,162,Tính ổn định của giống cây trồng,Stability of Plant Variety,植物品種の安定性,NULL,NULL,NULL
A0163,163,Tên của giống cây trồng,Denomination of Plant Variety,植物品種の名称,NULL,NULL,NULL
A0164,164,Đăng ký quyền đối với giống cây trồng,Registration of Plant Variety Rights,植物品種権の登録,NULL,NULL,NULL
A0165,165,Cách thức nộp đơn đăng ký quyền đối với giống cây trồng,Methods of Filing Applications for Protection of Plant Varieties,植物品種権登録の出願方法,NULL,NULL,NULL
A0166,166,Nguyên tắc nộp đơn đầu tiên đối với giống cây trồng,First-to-File Principle for Plant Varieties,植物品種に対する先願主義,NULL,NULL,NULL
A0167,167,Nguyên tắc ưu tiên đối với đơn đăng ký bảo hộ,Priority Principle for Protection Applications,植物品種保護出願の優先原則,NULL,NULL,NULL
A0168,168,Bằng bảo hộ giống cây trồng và Sổ đăng ký quốc gia về giống cây trồng được bảo hộ,Protection Certificate and National Register for Protected Plant Varieties,植物品種保護証および国家登録簿,NULL,NULL,NULL
A0169,169,Hiệu lực của Bằng bảo hộ giống cây trồng,Validity of Protection Certificate for Plant Varieties,植物品種保護証の有効性,NULL,NULL,NULL
A0170,170,"Đình chỉ, phục hồi hiệu lực Bằng bảo hộ giống cây trồng",Suspension and Restoration of Validity of Protection Certificates,植物品種保護証の停止および回復,NULL,NULL,NULL
A0171,171,Huỷ bỏ hiệu lực Bằng bảo hộ giống cây trồng,Revocation of Protection Certificates,植物品種保護証の取消し,NULL,NULL,NULL
A0172,172,"Sửa đổi, cấp lại Bằng bảo hộ giống cây trồng",Amendment and Reissuance of Protection Certificates,植物品種保護証の修正・再発行,NULL,NULL,NULL
A0173,173,Công bố quyết định liên quan đến Bằng bảo hộ giống cây trồng,Publication of Decisions on Plant Variety Protection Certificates,植物品種保護証に関する決定の公表,NULL,NULL,NULL
A0174,174,Đơn đăng k‎ý bảo hộ,Protection Application for Plant Varieties,植物品種保護出願,NULL,NULL,NULL
A0175,175,"Tiếp nhận đơn đăng ký bảo hộ, ngày nộp đơn",Receipt and Filing Date of Protection Applications,出願の受付および出願日,NULL,NULL,NULL
A0176,176,Thẩm định hình thức đơn đăng ký bảo hộ,Formality Examination of Protection Applications,出願書類の方式審査,NULL,NULL,NULL
A0177,177,Công bố đơn đăng ký bảo hộ,Publication of Protection Applications,出願の公表,NULL,NULL,NULL
A0178,178,Thẩm định nội dung đơn đăng ký bảo hộ,Substantive Examination of Protection Applications,出願の実体審査,NULL,NULL,NULL
A0179,179,"Sửa đổi, bổ sung đơn đăng ký bảo hộ",Amendment and Supplementation of Protection Applications,出願書類の補正,NULL,NULL,NULL
A0180,180,Rút đơn đăng ký bảo hộ,Withdrawal of Protection Applications,出願の取下げ,NULL,NULL,NULL
A0181,181,Ý kiến của người thứ ba về việc cấp Bằng bảo hộ giống cây trồng,Third Party Opinions on Grant of Protection Certificates,第三者による植物品種保護証の意見,NULL,NULL,NULL
A0182,182,Từ chối cấp Bằng bảo hộ giống cây trồng,Refusal to Grant Protection Certificates,植物品種保護証の発行拒否,"Đơn đăng ký bảo hộ bị từ chối cấp Bằng bảo hộ giống cây trồng trong trường hợp giống cây trồng không đáp ứng được các điều kiện quy định tại Điều 176 và Điều 178 của Luật này. Trong trường hợp từ chối cấp Bằng bảo hộ giống cây trồng, cơ quan quản lý nhà nước về quyền đối với giống cây trồng thực hiện các thủ tục sau đây:","An application for protection shall be refused to grant a Plant Variety Protection Certificate in cases where the plant variety does not satisfy the conditions specified in Articles 176 and 178 of this Law. In case of refusal to grant a Plant Variety Protection Certificate, the State management agency for rights to plant varieties shall carry out the following procedures:",保護申請において、植物品種が本法第176条及び第178条に規定された条件を満たしていない場合、植物品種保護証書の交付は拒否される。植物品種保護証書の交付を拒否する場合、植物品種権利管理機関は以下の手続きを行う。
A0183,183,Cấp Bằng bảo hộ giống cây trồng,Issuance of Protection Certificates,植物品種保護証の発行,NULL,NULL,NULL
A0184,184,Khiếu nại việc cấp hoặc từ chối cấp Bằng bảo hộ giống cây trồng,Complaints on Grant or Refusal of Protection Certificates,保護証発行・拒否に関する異議申立て,NULL,NULL,NULL
A0185,185,Quyền tác giả giống cây trồng,Breeder's Rights,植物品種の著作権,Tác giả giống cây trồng có các quyền sau đây:,Plant variety authors have the following rights:,植物品種の著者には以下の権利があります。
A0186,186,Quyền của chủ bằng bảo hộ,Rights of the Holder of the Protection Certificate,保護証所有者の権利,NULL,NULL,NULL
A0187,187,Mở rộng quyền của chủ bằng bảo hộ,Extension of Rights of the Protection Certificate Holder,保護証所有者の権利の拡張,Quyền của chủ bằng bảo hộ được mở rộng đối với các giống cây trồng sau đây:,The rights of the protection certificate holder are extended to the following plant varieties:,保護証明書保有者の権利は、以下の植物品種にまで及びます。
A0188,188,Hành vi xâm phạm quyền đối với giống cây trồng,Acts Infringing Plant Variety Rights,植物品種に対する権利侵害行為,Các hành vi sau đây bị coi là xâm phạm quyền của chủ bằng bảo hộ:,The following acts are considered to infringe upon the rights of the patent owner:,以下の行為は特許権者の権利を侵害するものとみなされます。
A0189,189,Quyền tạm thời đối với giống cây trồng,Provisional Rights to Plant Varieties,植物品種に対する暫定的権利,NULL,NULL,NULL
A0190,190,Hạn chế quyền của chủ bằng bảo hộ giống cây trồng,Limitations on Rights of Plant Variety Protection Holders,植物品種保護証所有者の権利制限,NULL,NULL,NULL
A0191,191,Nghĩa vụ của chủ bằng bảo hộ và tác giả giống cây trồng,Obligations of Protection Certificate Holders and Breeders,保護証所有者・著作者の義務,NULL,NULL,NULL
A0192,192,Chuyển giao quyền sử dụng giống cây trồng,Licensing of Plant Variety Use,植物品種使用権の譲渡,NULL,NULL,NULL
A0193,193,Quyền của các bên trong hợp đồng chuyển giao quyền sử dụng,Rights of Parties in Contracts for Licensing,使用権譲渡契約当事者の権利,NULL,NULL,NULL
A0194,194,Chuyển nhượng quyền đối với giống cây trồng,Assignment of Plant Variety Rights,植物品種権の譲渡,NULL,NULL,NULL
A0195,195,Căn cứ và điều kiện bắt buộc chuyển giao quyền sử dụng giống cây trồng,Grounds and Conditions for Compulsory Licensing of Plant Varieties,植物品種使用権強制移転の根拠および条件,NULL,NULL,NULL
A0196,196,Thẩm quyền và thủ tục chuyển giao quyền sử dụng giống cây trồng theo quyết định bắt buộc,Authority and Procedures for Compulsory Licensing of Plant Varieties,植物品種使用権強制移転の権限および手続き,NULL,NULL,NULL
A0197,197,Quyền của chủ bằng bảo hộ trong trường hợp bị bắt buộc chuyển giao quyền sử dụng giống cây trồng,Rights of Protection Certificate Holders in Cases of Compulsory Licensing,強制移転された場合の保護証所有者の権利,Chủ bằng bảo hộ bị bắt buộc phải chuyển giao quyền sử dụng giống cây trồng có các quyền sau đây:,The owner of a protection certificate who is required to transfer the right to use a plant variety has the following rights:,植物品種の使用権を譲渡する必要がある保護証明書の所有者には、以下の権利があります。
A0198,198,Quyền tự bảo vệ,Right to Self-Protection,自己保護権,NULL,NULL,NULL
A0199,199,Biện pháp xử lý hành vi xâm phạm quyền sở hữu trí tuệ,Measures Against Infringement of Intellectual Property Rights,知的財産権侵害行為に対する対処措置,NULL,NULL,NULL
A0200,200,Thẩm quyền xử lý hành vi xâm phạm quyền sở hữu trí tuệ,Competence to Handle Acts of Infringement of Intellectual Property Rights,知的財産権侵害行為の処理権限,NULL,NULL,NULL
A0201,201,Giám định về sở hữu trí tuệ,Intellectual Property Appraisal,知的財産鑑定,NULL,NULL,NULL
A0202,202,Các biện pháp dân sự,Civil Remedies,民事的措置,"Toà án áp dụng các biện pháp dân sự sau đây để xử lý tổ chức, cá nhân có hành vi xâm phạm quyền sở hữu trí tuệ:",The Court applies the following civil measures to handle organizations and individuals who infringe upon intellectual property rights:,裁判所は、知的財産権を侵害する組織および個人に対して、以下の民事措置を適用します。
A0203,203,Quyền và nghĩa vụ chứng minh của đương sự,Rights and Obligations of Parties in Proving Infringement,当事者の立証権利および義務,NULL,NULL,NULL
A0204,204,Nguyên tắc xác định thiệt hại do xâm phạm quyền sở hữu trí tuệ,Principles for Determining Damages Caused by Infringement of Intellectual Property Rights,知的財産権侵害による損害額の算定原則,NULL,NULL,NULL
A0205,205,Căn cứ xác định mức bồi thường thiệt hại do xâm phạm quyền sở hữu trí tuệ,Basis for Determining Level of Compensation,損害賠償額の算定根拠,NULL,NULL,NULL
A0206,206,Quyền yêu cầu Toà án áp dụng biện pháp khẩn cấp tạm thời,Right to Request Court to Apply Provisional Urgent Measures,裁判所による仮処分措置の申立権,NULL,NULL,NULL
A0207,207,Các biện pháp khẩn cấp tạm thời,Provisional Urgent Measures,仮処分措置,NULL,NULL,NULL
A0208,208,Nghĩa vụ của người yêu cầu áp dụng biện pháp khẩn cấp tạm thời,Obligations of the Requester of Provisional Measures,仮処分申立人の義務,NULL,NULL,NULL
A0209,209,Huỷ bỏ việc áp dụng biện pháp khẩn cấp tạm thời,Revocation of Provisional Urgent Measures,仮処分措置の取消し,NULL,NULL,NULL
A0210,210,"Thẩm quyền, thủ tục áp dụng biện pháp khẩn cấp tạm thời",Authority and Procedures for Applying Provisional Measures,仮処分措置の実施権限および手続き,NULL,NULL,NULL
A0211,211,Hành vi xâm phạm quyền sở hữu trí tuệ bị xử phạt hành chính,Acts of Infringement of Intellectual Property Rights Subject to Administrative Penalties,行政処分の対象となる知的財産権侵害行為,NULL,NULL,NULL
A0212,212,Hành vi xâm phạm quyền sở hữu trí tuệ bị xử lý hình sự,Acts of Infringement Subject to Criminal Liability,刑事処分の対象となる知的財産権侵害行為,NULL,NULL,NULL
A0213,213,Hàng hoá giả mạo về sở hữu trí tuệ,Counterfeit Goods in Terms of Intellectual Property,知的財産権を侵害する偽造品,NULL,NULL,NULL
A0214,214,Các hình thức xử phạt hành chính và biện pháp khắc phục hậu quả,Forms of Administrative Sanctions and Remedial Measures,行政処分の形態および損害回復措置,NULL,NULL,NULL
A0215,215,Các biện pháp ngăn chặn và bảo đảm xử phạt hành chính,Preventive Measures and Measures to Secure Administrative Sanctions,行政処分の防止措置および保証措置,NULL,NULL,NULL
A0216,216,"Biện pháp kiểm soát hàng hoá xuất khẩu, nhập khẩu liên quan đến sở hữu trí tuệ",Control of Export and Import Goods Related to Intellectual Property,輸出入に関する知的財産の監視措置,NULL,NULL,NULL
A0217,217,"Nghĩa vụ của người yêu cầu áp dụng biện pháp kiểm soát hàng hoá xuất khẩu, nhập khẩu liên quan đến sở hữu trí tuệ",Obligations of Applicants for Measures on Export/Import Control,輸出入に関する知的財産の監視申請者の義務,NULL,NULL,NULL
A0218,218,Thủ tục áp dụng biện pháp tạm dừng làm thủ tục hải quan,Procedures for Suspension of Customs Clearance,税関手続きの一時停止措置,NULL,NULL,NULL
A0219,219,"Kiểm tra, giám sát để phát hiện hàng hoá có dấu hiệu xâm phạm quyền sở hữu trí tuệ",Inspection and Supervision to Detect Infringement of Intellectual Property Rights,知的財産侵害の監視・検査,NULL,NULL,NULL
A0220,220,Điều khoản chuyển tiếp,Transitional Provisions,経過規定,NULL,NULL,NULL
A0221,221,Hiệu lực thi hành,Effectiveness,施行効力,NULL,NULL,NULL
A0222,222,Hướng dẫn thi hành,Implementation Guidance,施行指針,NULL,NULL,NULL
A0223,1,Phạm vi điều chỉnh,Scope of adjustment,調整範囲,NULL,NULL,NULL
A0224,2,Đối tượng áp dụng,Applicable objects,適用対象,Nghị định này áp dụng đối với:,This Decree applies to:,この政令は以下に適用されます。
A0225,3,Giải thích từ ngữ,Word explanation,単語の説明,"Trong Nghị định này, các từ ngữ dưới đây được hiểu như sau:","In this Decree, the following terms are construed as follows:",この政令において、以下の用語は以下のように解釈される。
A0226,4,"Chính sách của Nhà nước về quyền tác giả, quyền liên quan",State policy on copyright and related rights,著作権および関連する権利に関する州の政策,NULL,NULL,NULL
A0227,5,"Trách nhiệm và nội dung quản lý nhà nước về quyền tác giả, quyền liên quan",Responsibilities and contents of state management of copyright and related rights,著作権および関連する権利の国家管理の責任と内容,NULL,NULL,NULL
A0228,6,Các loại hình tác phẩm được bảo hộ quyền tác giả,Types of works protected by copyright,著作権で保護される作品の種類,NULL,NULL,NULL
A0229,7,Tác phẩm phái sinh,Derivative works,派生作品,"Tác phẩm phái sinh quy định tại khoản 2 Điều 14 của Luật Sở hữu trí tuệ là tác phẩm được sáng tạo trên cơ sở một hoặc nhiều tác phẩm đã có, bao gồm:","Derivative works specified in Clause 2, Article 14 of the Law on Intellectual Property are works created on the basis of one or more existing works, including:",知的財産法第 14 条第 2 項に規定される派生的著作物とは、1 つ以上の既存の著作物に基づいて作成された著作物であり、次のようなものが含まれます。
A0230,8,Đối tượng không thuộc phạm vi bảo hộ quyền tác giả,Objects not covered by copyright protection,著作権保護の対象外となるもの,NULL,NULL,NULL
A0231,9,"Quyền tác giả đối với bài giảng, bài phát biểu, bài nói khác","Copyright for lectures, speeches, and other talks",講義、スピーチ、その他の講演の著作権,NULL,NULL,NULL
A0232,10,Quyền tác giả đối với tác phẩm điện ảnh,Copyright in cinematographic works,映画作品の著作権,NULL,NULL,NULL
A0233,11,Quyền tác giả đối với tác phẩm kiến trúc,Copyright in architectural works,建築作品の著作権,NULL,NULL,NULL
A0234,12,Quyền tác giả đối với chương trình máy tính,Copyright in computer programs,コンピュータプログラムの著作権,NULL,NULL,NULL
A0235,13,"Quyền tác giả đối với tác phẩm văn học, nghệ thuật dân gian",Copyright for literary and folk art works,文学作品および民俗芸術作品の著作権,NULL,NULL,NULL
A0236,14,Quyền nhân thân,Personal rights,個人の権利,NULL,NULL,NULL
A0237,15,Quyền biểu diễn tác phẩm trước công chúng,Right to perform works in public,公衆の面前で作品を上演する権利,"Quyền biểu diễn tác phẩm trước công chúng trực tiếp hoặc gián tiếp thông qua các bản ghi âm, ghi hình hoặc bất kỳ phương tiện kỹ thuật nào tại địa điểm mà công chúng có thể tiếp cận được nhưng công chúng không thể tự do lựa chọn thời gian và từng phần tác phẩm quy định tại điểm b khoản 1 Điều 20 của Luật Sở hữu trí tuệ được hiểu như sau:","The right to perform a work to the public directly or indirectly through audio or video recordings or any technical means at a location accessible to the public but where the public cannot freely choose the time and each part of the work as prescribed in Point b, Clause 1, Article 20 of the Law on Intellectual Property is understood as follows:",知的財産法第20条第1項b号に規定されているように、公衆が自由に作品の時間および各部分を選択できない場所で、オーディオまたはビデオ録画またはその他の技術的手段を通じて、直接的または間接的に作品を公衆に上演する権利は、次のように理解されます。
A0238,16,"Quyền của đồng tác giả, đồng chủ sở hữu quyền tác giả","Rights of co-authors, co-owners of copyright",共著者、著作権の共同所有者の権利,NULL,NULL,NULL
A0239,17,Thời hạn bảo hộ quyền tác giả đối với tác phẩm di cảo,Duration of copyright protection for posthumous works,死後著作物の著作権保護期間,NULL,NULL,NULL
A0240,18,Chủ sở hữu quyền tác giả,Copyright owner,著作権者,Chủ sở hữu quyền tác giả quy định tại Điều 36 của Luật Sở hữu trí tuệ bao gồm:,Copyright owners specified in Article 36 of the Law on Intellectual Property include:,知的財産法第36条に規定される著作権者には以下が含まれます。
A0241,19,Quyền của người biểu diễn,Performer's Rights,実演家の権利,NULL,NULL,NULL
A0242,20,Sử dụng chương trình phát sóng,Use the broadcast,放送を利用する,NULL,NULL,NULL
A0243,21,"Chuyển quyền sử dụng quyền tác giả, quyền liên quan",Transfer of copyright and related rights,著作権および関連する権利の譲渡,NULL,NULL,NULL
A0244,22,"Sử dụng tác phẩm, cuộc biểu diễn, bản ghi âm, ghi hình, chương trình phát sóng mà Nhà nước là đại diện chủ sở hữu quyền tác giả, chủ sở hữu quyền liên quan","Use of works, performances, sound recordings, video recordings, and broadcasts of which the State is the representative owner of copyright or related rights",国が著作権または関連する権利の代表者である著作物、実演、録音、録画、放送の利用,NULL,NULL,NULL
